rootcause,subcategory,symptoms
Distributed and Parallel Execution,Distributed/Multi-Process Data Communication Failures,"Cross-device tensor misaligned causing RuntimeError during inference,torch.stack or norm across CPU/GPU fails causing training anomaly,Loss zero in ZeRO3 training、evaluation accuracy zero or training hangs,Some rank parameters are 0 causing training failure or error,Communication steps such as grad norm、reduce scatter fail,Some ranks missing parameters、pipelining error or assertion failure,Gradients unbalanced、communication operation failure、data misaligned or communication timeout,Gradients not merged correctly、communication logic error or partition error、leading to model not converging,Communication state abnormal or parameters not synchronized correctly、leading to distributed training failure,Communication timeout during training,all_gather causes extra GPU allocation、optimization suggested,Activation misaligned,Tensor broadcast duplicated,Model cannot load、weights missing、RuntimeError、gradients unsynchronized,Error when calling _allgather_params,Multi-GPU training failed、deadlock or data inconsistency"
Distributed and Parallel Execution,Communication and Coordination Errors,"Lack of synchronization or fixed seed causes inconsistent test results,Large differences in training results across GPUs、suspect scheduling strategy influence,Batch allocation error in PP+DP mode,Training hangs、distribution uneven、micro-batch empty,Reduce order disorder、mapreduce concurrent write failure,Communication failure、synchronization error、pipeline epochs inconsistent,Multi-GPU slower than single GPU、inference values inconsistent,Communication deadlock,Partition imbalance,Multi-GPU performance anomaly,Pipeline rank resources uneven,In Megatron SP mode each TP rank receives identical data,Multi-GPU output duplicated or inconsistent,Communication logic errors (e.g., barrier、broadcast) in Pipeline/ZeRO parallel cause hang or desynchronization,Device bubble occurs or synchronization wait too long,Process hangs during inference or training,Some GPUs finish then wait for others causing latency,Redundant all_reduce leads to deadlock,Inference hangs or process blocked"
Numerical Stability and Precision Management,Numerical Computation and Operator Stability Bugs,"Dimension error in forward pass or “Sizes of tensors must match”,grad_buf dtype mismatch causes numerical error,Warning still appears in non-fp16 mode、users unclear about actual status,Enabling overlap_comm in ZeRO Stage 2 leads to inconsistent loss,Loss overflow、optimizer configuration or checkpoint message ambiguous or misleading,Such as allocate_workspace_fp16、replace_module causing TypeError/NotImplementedError,Changing HF layer strategy makes logits inconsistent,Optimizer creation log fails to show bf16 support、misleads dtype information,Continuous log printing、accumulated step-count estimation error,Gradient-update frequency miscalculated,Causes some weights to be unallocated,seq = 4096 makes softmax_context_func divide-by-zero or overflow,Error / precision issue / synchronization problem,FP16 kernel incompatible with Pascal architecture causes crash,Special sequence length triggers RuntimeError or accuracy drop,CUDA_HOME missing、header not found、fp16/fp32 kernel compilation fails,Output becomes all-zero vector / training fails / loss does not decrease,Gradient-partition order inconsistent、empty gradients unhandled、round-robin error、accumulation-logic flaw,Activation checkpoint lowers accuracy、loss display wrong under gradient_accumulation_steps、mask parameters untrained,ZeRO-1/2/3 training logic inconsistent、loss mismatch、config ineffective or crash risk,Mask error、FP16 returns nan、Triton compatibility issue,FP16 softmax misuse、model outputs inconsistent、seq2seq inference error、model state mismatch after load,Inference-API error、FP16 half-precision inference abnormal、GPT-Neo load failure,Loss curves differ greatly across stages,OneBitAdam incompatible with ZeRO2、ZeRO-1 poor effect、gradients not default True,Stage 3 dimension error,Torch.cdist fp16 not implemented,log(0),Dummy overflow-check logic wrong in float16 mode,CUDA kernel index type error,FlashInfer v0.2.3 sampling error,Top-k gather index type error,Numerical error on WSL2,Large-tensor transpose causes performance issue,Partition.process_json_file uses undefined variable key,Cross_entropy under tensor parallel differs by 1 %,CUDA Graph combined with 1F1B causes NaN gradients,Loss inconsistent inside CUDA Graph environment,Accuracy inconsistent in PP,Embedding output precision abnormal,FA3 accuracy drops,Logits inconsistent,Transformers and vLLM inference results differ,Profiling causes measurement bias,Divide-by-zero error in logprobs,Divisor 0 triggers exception,Hessian cannot be inverted,test_fused_moe tolerance insufficient,metrics computation divisor error,RoPE configuration abnormal,Model accuracy lower than expected,OCR accuracy drops sharply after v0.6.2 upgrade,Results differ from OpenCompass,Model generation quality degrades,Triton assertion failure under FP32,Qwen2-VL-7B-Instruct accuracy decline,Phi-MoE model outputs strange characters,Different results when using awq model parameters,Llama3 RoPE init needs refactor、Phi position-embedding overflow error,rope scaling unsupported causes Gemma2-9b run failure,TP_size divisibility issue causes tensor-size mismatch、precision-conversion issue (bf16 support)、Perf conflicts with Transformers version,FP16 negative-split error、MoE forward precision overflow,Operator implementation defect (e.g., FP8 all-reduce algorithm error)、kernel compatibility insufficient (e.g., flash-attention missing lazyload),Inference results differ each time,Data-type mismatch in element-wise addition,Model accuracy drops or build fails,Python and C++ runtime results differ,Same input produces different results multiple times,Inference results differ with different batch sizes,Output abnormal or NaN,Result differences across versions/parameters,Long-text input/output accuracy degrades,MMLU score abnormal,int32 index overflow causes build failure,Parameter value error causes numerical processing issue,Head size or row/column byte count invalid triggers assertion,Conv2D calculation shows precision difference,User reports numerical inconsistency (e.g., modified QWenAttention precision difference、int8_sq_per_tensor mode anomaly),nan values or loss divergence"
Numerical Stability and Precision Management,Precision and Quantization Error Management Bugs,"BF16/FP16 tensor handling error or slow convergence,4-bit/8-bit/fp6 quantized model type error or unsupported at inference,Inference failure under low-precision computing (e.g., bf16/fp16) 、precision error or mixing fp32 causes crash,Gradient/precision/weight-loading errors when combined with MoQ、4-bit PTQ、ZeroQuant,Gradient overflow、loss chaos、optimizer incompatibility、precision error when using bf16/fp16,Loss scaling incorrect、log overflow handling chaotic、behaviors differ across precisions,Low-precision models fail or deviate greatly on GPT-J、OPT、Bloom,Such as int8+GPTJ、bf16+GPT2、mixed dtype + ViT,pydantic configuration lacks bf16 support,int8 load failure、precision loss、inference slower instead of faster,Improper memory access、stride、type casting in quantization kernel causes precision issue or crash,MoE sum kernel loses bfloat16 precision when topk = 8,OPEA quantization yields abnormal results,bfloat16 causes overflow,fp8 type handling failure,int8 precision slower than fp8,bfloat16 and float32 used with wrong formats,Adding bfloat16 support triggers test failure,Qwen2.5-VL-3B float16 overflow,Precision-related sampling error,flashinfer version change impacts fp8 accuracy,4-bit inflight quantization parameter error,FP8 KV cache warning,Attention quantization abnormal,bnb prequantification error,INT8 Qwen2.5 generates meaningless sentences,int8-A8W8 unstable,llama3 int8 inference error,Zero-point folding error in static symmetric quantization,INT8 weights too small cause test failure,convert_fp8 uses wrong type,FP8 quantization crashes on AMD MI300X,FP8 model numerical error,AssertionError under GGUF quantization,Float16 inference fails when chunked prefill enabled,Meta-LLaMA FP8 test failure,AWQ failure、legacy quantization precision hurts glm4v、fp8 cache incompatible with Ampere,FP8/AWQ quantization leads to core dump or accuracy issue,Parameter mishandling during quantization causes abnormal output (e.g., redundant ops in INT8 quantization),int4 weight-only engine outputs garbage characters,Output empty when using smoothquant,Quantization failure,FP8 quantization causes repeated inference results or attention computation failure,W4A(FP)8 quantization lacks zero-point check causing error,INT8/INT4 failure error,Error during quantization causes conversion or inference failure,Engine build or inference abnormal under specific precision mode,Quantization failure or wrong output,bfloat16 build failure,TypeError during quantization process,INT8 calibration failure,Missing scale and zero-point warning,Quantization process failed or export type error,int8_kv_cache or int4-awq causes precision drop or build error、linear-layer fusion affects quantization accuracy,AWQ/Int8 quantization function error causes model performance drop or build failure,Improper INT8 quantization range causes precision loss or build failure,Quantization with SLora affects network precision,Post-quantization error or inference latency/precision abnormal,Numerical split failure during quantized inference"
Numerical Stability and Precision Management,Checkpoint Precision Compatibility Failures,"Checkpoint supports only str,Model converted to ckpt yields abnormal inference,Numeric error makes checkpoint file unsupported"
Training and Inference Control Logic bugs,Training Strategy and Optimizer Usage Bugs,"Unable to optimize only a specific sub-network、or Adam Offload throws an error when mixing CPU/CUDA,Learning-rate scheduler not effective or initialized with wrong value,Parameter groups merged、learning rates not isolated、fused_adam failed to load,FLOPs underestimated,Scheduler does not decay,lr scheduler not saved,Training logic error"
Training and Inference Control Logic bugs,Model Training Stability Failures,"Training stalls or precision error during training,Training stagnates、evaluation accuracy is 0、loss is 0 or not updating,Training loss shows abnormal periodic pattern,Gradients zero during training、loss abnormal or save fails,Loss oscillates cyclically、does not converge or gradient abnormal,Training crashes、worse convergence、abnormal inference outputs,Training process stalls、start_profile fails or training hangs,Ctrl+C kills all training tasks,Trainer integration deadlock、PPO loss fluctuations、scheduler missing,Loss stuck at 0、uncleared initialization causes IndexError、gradient None,Training freeze、excessive recursion causes error,Alpaca loss abnormal,Loss is 0,HybridEngine training unstable,Loss is 0、experts not invoked、checkpoint load failure,Hang during training or inference、random failures or inconsistent results"
Training and Inference Control Logic bugs,Initialization and State Configuration Anomalies,"wrapper attribute in CompiledModuleWrapper overridden、forward not called,Long stall during training initialization phase,CPU/GPU optimizer behaviors differ or initialization inconsistent,Checkpoint load failure、parameter mismatch or weights not loaded,Multiple initializes cause state corruption,Model behaves abnormally after restore such as weights not loaded or training from scratch,Variable access failure or unhandled real_accelerator fallback,Logic flaw in checkpointable_layers、quantized weights not reset,Index error after freezing weights、initialization conflict causes IndexError,init_inference failure、multiple engine conflicts、bias becomes NaN,Meta tensor migration issue、checkpoint layer name mismatch,State dict naming conflict、nonreentrant checkpoint replacement failure,module_state_dict frozen-parameter KeyError、checkpoint cannot be restored,Improper device selection,Port conflict,Weights not synchronized,Key mismatch,State not synchronized,Parameter count is 0,AttributeError at runtime or parameters on different devices"
Training and Inference Control Logic bugs,Optimizer and Gradient Strategy Errors,"Layer with requires_grad=False prevents release logic during backward,grad_norm miscalculation causes model not to converge,Gradients None during training、optimizer state wrong、checkpoint load failure,Error in allreduce or forward、or gradients are None,grad is None during training causing assertion failure or crash,Some parameters no gradient、training hangs、accuracy drops,Gradients inconsistent、state not loaded、update failure or gradient update bias,Gradient clipping ineffective、loss becomes NaN or LR scheduling chaos,grad norm is NaN、loss is 0 or parameter state fetch abnormal,Gradient accumulation abnormal during training or model parameters cannot be restored,Assertion failure or optimizer state cannot be restored,zero_to_fp32 tool logic error,Second backward error、nonreentrant checkpoint ineffective,optimizer_mem update ineffective、TFLOPS fetch error,Gradient checkpoint conflicts with zero、grad is None,zero_grad inconsistent with torch、bf16 optimizer error,loss scale is 0,Optimizer not configured or weights empty,Parameter group error,Optimizer gradients error,tie weights handling error,Optimizer not synchronized"
Training and Inference Control Logic bugs,Model Unresponsiveness or Erroneous Inference Outputs,"Pointer or shape error causes inference RuntimeError,Error during inference、repeated outputs、performance degradation,Output tensors duplicate、slow or not converging during inference,Inference performance inconsistent、hangs or result bias,Repeated outputs or wrong memory in multi-round inference,Causes crash、None data or deadlock,Failure to enter model.generate() causes training stall、GPU freeze,AttributeError,Input exceeds max_tokens causing segfault,assert error,Generation behavior failed,attention mask abnormal,Output inconsistent、inference abnormal、some functions unimplemented"
Data Pipeline and IO Management,Data Flow Processing Failures,"Batch size error、None tensor、deadlock、zero file,Abnormal batch size、deadlock or DataLoader crash,Dataset count mismatch causes deadlock、communication-config conflict,input/target not passed to model engine correctly causing error,Long input、long output、large batch or GPU distribution issue triggers CUDA OOM,Identical input yields different output、random behavior anomaly,Last batch size abnormal or error,Batch size mismatch、register_buffer missing content、torch DataLoader misuse,Training-step display error、uncontrollable remaining batches,Value modified during data transfer、eval output anomaly,Disaggregated Prefilling error,Finetuning with microbatches>1 unsupported for gradient accumulation,dataloader worker intercepts SIGTERM causing exit-handler failure,Response leak,Missing multimodal responses、multimodal tests fail,Request disconnection unhandled,Streaming did not return complete result,stream generate failed,Client terminated without canceling request,Request not aborted when client process ended,request.is_disconnected cannot report disconnect status、request non interruptible,Request exception non interruptible,Streaming result is None,Request non abortable,embeddings endpoint unresponsive,Streaming response returns only one token,Non streaming API cannot correctly produce usage info,Prometheus /metrics returns nothing、/metrics outputs nothing,Data loader cannot form valid batch or data format error,Loss computation exception triggered while dataloader fetching data,GradAccumDataloader skips last iteration、dataloader mis handles data、data format mismatch,Streaming response support missing/parameter pass error/cache manager null pointer,Triton endpoint lacks decoupled transaction policy/streaming data loss,Streaming output callback not invoked as expected,aclnnCast call failed possible network or data transfer issue,Multi node data cache service error,Data loading or preprocessing failure causes training error,Error triggered during dataset training"
Data Pipeline and IO Management,Data Reading and Input Errors,"Data not ready when init called,Path misconfiguration or cache policy bug,Error running example or test script such as missing file or wrong path,Failed to fetch URL or token,Duplicate test name、high I O load or unchecked device count causes CI hang or fail,IO warning printed when NVMe not set,Dataset type undefined limiting training,dataset config parameter conflict causes crash,Tokenizer file existence unchecked causes exception,Missing dummy tokenizer,S3 load failure,Visual data access failure,Early return in preprocess_data.py prevents bin or idx creation,Missing BookCorpus dataset,JSON decode error when building tokenizer,Qwen2.5-VL service lag or image request error,Whisper test failed or Whisper offline function abnormal,Qwen2Tokenizer error,sentence_bert_config.json returns 404,openai API returns empty string,ModelScope load failure,Huggingface hub HFValidationError,Unable to copy file,File path or IO exception such as FileNotFoundError,Missing correct path prevents module import,Missing required file or module causes feature failure,Include path misconfiguration causes compile or import failure,IndexError loading dataset with few_shot disabled,Missing required files or modules such as utils.py or accelerator,Data preparation error interrupts workflow,AssertionError due to missing data column text,Repeated reads from same source cause faulty behavior,prompt_dataloader duplicate read、seed dataset conversion error、KL divergence sampling source error,Dataset download link、pretrained weights or config file missing,Cannot find file or wrong directory chosen,File or directory missing causes run interruption,Path setting issue causes feature failure such as glm-4-9b path,Path change breaks dependencies such as requirements.txt lost or model path misconfig,Server returns non 200 status such as HTTP 500 during benchmarking,Exception during load,Missing config or weights prevents script execution,File generation error,HTTP request handling stuck or batch request fails,Cannot load plan file or rouge.py missing,Engine path misconfiguration、dataset missing breaks benchmark、weights unbound causes build error,Shard download stuck,Dataset load failure or preprocessing error,File path registration error or strategy file missing,Dataset register path wrong causes processing failure,Wrong file path causes resource load failure,YAML file not matching run script path,File missing during model prediction,Missing config.json file,Missing predict_glm2_6b.yaml,wget downloads only part of data,Missing config file such as config.json or tokenizer.json causes task abort,alpaca_data.json missing so inaccessible,Network failure during model download,Single host multi GPU inference error missing dataset file,Prediction fails due to wrong file path,Dataset conversion error such as tik import fail,Wrong path prevents file load or assertion fails,Dataset link invalid or input data shape mismatch,Dataset processing or tokenizer missing causes failure,Dataset creation with read_function parameter fails"
Data Pipeline and IO Management,Data Preprocessing and Type Handling Bugs,"Tensor shape mismatch when Pipeline Parallel inputs differ,metric_type accumulation error、collate_fn None triggers exception,Wrong shuffle setting degrades convergence,Enabling multiple options LORA or gradient_checkpointing causes AssertionError,Option combo unchecked、AssertionError or semantic error gradient_checkpointing with only_lora,NamedTuple output、tensor dimension error、multiple tensor input causes assertion fail,Softmax input mismatch、Bloom attention mask size mismatch、over long tensor input causes RuntimeError,steps_per_print ignored、input shape cannot update、dtype force check fail,GPT or OPT or Roberta or NeoX inference wrong or inconsistent with batch>1 or long input,lcm greater than max_acceptable_batch_size fails test,Some matmul or einsum operations not shown,max_train_batch_size unspecified leads to None or doc error,Length calculation error、drop_last missing leaves residual data,Matmul not logged、packed RNN unsupported、einsum error etc.,Multiple video input triggers data structure error,Dataset preprocessor logic error,Dataset list config triggers blendable_dataset.py error,JSON multiple key or loop not finalize all keys causes parse fail,Sampling probability config abnormal in BlendableDataset,Input processor causes mllama error,Chinese text batch processing fails,multi modal input tested with limit=1 only,do_lower_case causes UNK,Qwen-VL-Chat OOV error,Multimodal tokens mismatch placeholders,PixtralHF non standard image resolution fail,Only one image in batch unhandled,hermes_parser JSON parse fail,XGrammar empty output,sampling_metadata copy omitted,JSON dict loses order using prompt_logprobs causing token order error,Hermes parse stream error,MistralTokenizer fails to filter special tokens,tokenizer_mode missing causes hang,Over long token in streaming mode fails,Mistral tokenizer lacks id_to_byte_piece,Qwen2-VL mishandles mm_processor_kwargs causing vision input inference fail,Mistral Tekken Tokenizer special token crash,Molmo dummy data validation fail,Hidden States retrieval fail,spec decode cannot access hidden_states,Qwen2VL image causes scrambled output,Error when more than one input image,Image placeholder wrong,Image input not parsed,Placeholder error,mistralaiCodestral truncated,MistralTokenizer or CachedChatGLM4Tokenizer missing vocab attribute causes AttributeError,Wx1 image dimension input triggers transformers exception,Qwen2VL image embedding dimension mismatch triggers error,Handling 1×1 or no placeholder image triggers channel error or crash or UnboundLocalError,benchmark input hints unsynced,Tokenization differs from HF,JSONDecodeError,tool_parser error affects streaming chat,MistralTokenizer non UTF decode fail,Detokenization encoding error causes crash,Token versus placeholder mismatch,get_vocab attribute missing,Image handling needs manual token padding,MistralTokenizer lacks get_vocab,Pipeline generator escape character error,guided generation JSON incomplete,Tokenizer decode logic exponential growth,Image preprocessing called repeatedly,Shared prev_tokens in detokenizer causes exponential growth,Multimodal input placeholder error,API returns garbled words,InternVL multi image I O garbled,VLM placeholder out of context causes error,JSON output inconsistent,image_idx not passed correctly leads to inference fail,llavanext batch inference image tags mismatch placeholders、API EndOfStream error,Data type or tokenizer issue causes calculation error such as embedding calculation error,Cannot handle specific data type BatchEncoding,Dataloader length wrong、dataset file mis chosen、preprocess label assign error"
Data Pipeline and IO Management,Model Persistence and Saving Failures,"Incomplete save or load failure,state_dict param redundant、freeze weights fail、nested Init causes recursion error,Error in save_state phase,Cannot correctly save or read checkpoint,Offline inference cannot complete,Chat cache file causes exception needs removal,state_dict save or load error,Unable to export intermediate values or export exception"
Data Pipeline and IO Management,Model File and Checkpoint Compatibility Bugs,"Cannot merge checkpoints in multi node training,Checkpoint with PipeEngine or CompiledWrapper reports error,Different GPU count in checkpoint causes restore failure,Checkpoint weight load failure,Zero3 checkpoint load error,Weight loading failure,Missing key,strict param missing in load_state_dict causes restore fail,Sharded checkpoints will not load、weight attribute missing、scale wrong、shape or index mismatch、init fail,Parameter sharing ineffective or wrong weight load,state_dict size mismatch、restore fail、some weights None,Model restore fail、some weights missing、error,Weight sharing or restore logic error with LoRA etc. causes inconsistent outputs,zero_to_fp32 or checkpoint file structure error causes restore fail or size bloat,ZeRO3 does not retain frozen weights、checkpoint state incomplete、Embedding unusable after restore,Model list corrupted or load fail,Model state inconsistent after checkpoint load,Model load failure、state_dict mismatch,load_checkpoint cannot read saved result,GGUF file without extension unrecognized,No .gguf extension cannot load,safetensors weight file not found,Model file incomplete download,File not found or wrong format such as config.json path error or gptq format issue,Config or model path invalid JSON parse fail or pretrained model load fail,Model file download interrupted or corrupted causes train or infer fail,convert_checkpoint.py conversion script failed,Converting InternVL2-1B etc. fails due to script or version issue,AutoConfig cannot load HF config causing error,ONNX model load fails missing field declaration,Qwen2VL model conversion failed,Model name mapping error causes load fail,convert_checkpoint.py crashes during conversion,Conversion script failed,convert_checkpoint.py environment or config error causes conversion fail,InvalidHeaderDeserialization exception,InferenceRequest object not serializable TypeError,Error locating weights or data file,Weight download failure or file missing,Single safetensors file checksum fail,Model inference weight load failure"
